gene_name,p_val_adj
Arp2/3 protein complex subunit p41-Arc (ARC41) mRNA,2.46337800087011e-5
Arp2/3 protein complex subunit p20-Arc (ARC20) mRNA,2.6537841463060224e-5
"Dolichol monophosphate mannose synthase (DPM1) mRNA, partial cds",2.858676175008702e-5
Phospholipid scramblase mRNA,2.858676175008702e-5
GB DEF = Syntaxin-16C mRNA,2.858676175008702e-5
GB DEF = TEB4 protein mRNA,2.858676175008702e-5
MAD-related gene SMAD7 (SMAD7) mRNA,2.858676175008702e-5
Chemokine receptor X (CKRX) mRNA,2.858676175008702e-5
"GB DEF = Unknown protein mRNA, partial cds",2.858676175008702e-5
GB DEF = SKB1Hs mRNA,2.858676175008702e-5
GB DEF = C8FW phosphoprotein,2.858676175008702e-5
GB DEF = Rer1 protein,2.858676175008702e-5
ANX2 Annexin II (lipocortin II),2.9577768846431902e-5
TYMS Thymidylate synthase,2.968060529415746e-5
GPX3 Glutathione peroxidase 3 (plasma),3.095710451723744e-5
GCSH Glycine cleavage system protein H (aminomethyl carrier),3.2145000474824036e-5
FECH Ferrochelatase (protoporphyria),3.2145000474824036e-5
PSMA3 Proteasome component C3,3.219206244090397e-5
PSMA5 Proteasome component C5,3.362314665311325e-5
PROTEASOME COMPONENT C8,3.371492395422261e-5
GAPD Glyceraldehyde-3-phosphate dehydrogenase,3.446858375140542e-5
PTAFR Platelet activating factor receptor,3.7009824781666634e-5
"PRKCD Protein kinase C, delta",3.933275443146478e-5
ACAT1 Acetyl-Coenzyme A acetyltransferase 2 (acetoacetyl Coenzyme A thiolase),3.933275443146478e-5
MACS Myristoylated alanine-rich C-kinase substrate,4.06555563809847e-5
OGDH Oxoglutarate dehydrogenase (lipoamide),4.0879813933040615e-5
PROBABLE G PROTEIN-COUPLED RECEPTOR HM74,4.34572588220089e-5
GB DEF = Serotonin 1B receptor,4.34572588220089e-5
IL2RG Interleukin 2 receptor gamma chain,4.453695630985005e-5
26S PROTEASE REGULATORY SUBUNIT 7,4.529422651688542e-5
PMP22 Peripheral myelin protein 22,4.62085327543502e-5
GLO1 Glyoxalase I,4.878440211485958e-5
DNA-(APURINIC OR APYRIMIDINIC SITE) LYASE,4.934879685839869e-5
"PIGF Phosphatidylinositol glycan, class F",4.934879685839869e-5
KIAA0001 gene,4.934879685839869e-5
KIAA0002 gene,4.934879685839869e-5
ANGPT1 Angiopoietin 1,5.131229909615689e-5
KIAA0005 gene,5.295352587571662e-5
KIAA0011 gene,6.608959859670328e-5
CCND2 Cyclin D2,6.728882119981924e-5
"HLA-C Major histocompatibility complex, class I, C",7.174403633083517e-5
KIAA0016 gene,7.247731496038719e-5
KIAA0018 gene,7.698194276390408e-5
KIAA0020 gene,7.698194276390408e-5
EIF4A1 Eukaryotic translation initiation factor 4A (eIF-4A) isoform 1,7.985224025282011e-5
Peptide YY precursor gene extracted from Human DNA for peptide YY,8.548593280218035e-5
Mitochondrial short-chain enoyl-CoA hydratase,8.875863718987128e-5
Rab GDI mRNA,9.204416137456684e-5
PUTATIVE MUCIN CORE PROTEIN PRECURSOR 24,9.245283684609652e-5
KIAA0101 gene,9.660446195396176e-5
KIAA0102 gene,1.0693654889917803e-4
KIAA0105 gene,1.1030706445689192e-4
KIAA0106 gene,1.1745838166539995e-4
KIAA0107 gene,1.189086776039713e-4
AMT Glycine cleavage system protein T (aminomethyltransferase),1.239421480659974e-4
NUCLEAR PORE COMPLEX PROTEIN NUP214,1.239421480659974e-4
PHOSPHATIDYLSERINE SYNTHASE I,1.27386556623555e-4
APOA2 Apolipoprotein A-II,1.2850105589193872e-4
"ATP5A1 ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit, isoform 1, cardiac muscle",1.2926908936645035e-4
KIAA0110 gene,1.3033362896998872e-4
KIAA0026 gene,1.3462545890178697e-4
FGF9 Fibroblast growth factor 9 (glia-activating factor),1.4471943835836498e-4
ADM Adrenomedullin,1.4471943835836498e-4
Protein D123,1.4911772551947307e-4
"Small GTP-binding protein, S10",1.539229423441535e-4
Transcription factor AREB6,1.6419534311871273e-4
DEFENDER AGAINST CELL DEATH 1,1.644726637266122e-4
CAST Calpastatin,1.654316113977039e-4
3-KETOACYL-COA THIOLASE MITOCHONDRIAL,1.7922629758567558e-4
"ORF, Xq terminal portion",1.8421362157930178e-4
VLDLR Very low density lipoprotein receptor,1.8616358856447275e-4
"ATP SYNTHASE GAMMA CHAIN, MITOCHONDRIAL PRECURSOR",1.8645663789244123e-4
HPCA Hippocalcin,2.0351885162451432e-4
CRARF C4/C2 activating component of Ra-reactive factor,2.0494236283341387e-4
GB DEF = N-acetylglucosaminyltransferase V,2.0573616376858838e-4
"KIAA0030 gene, partial cds",2.1024266750515315e-4
XP-C repair complementing protein (p58/HHR23B),2.1215966660526866e-4
CDH11 Cadherin 11 (OB-cadherin),2.1215966660526866e-4
60S RIBOSOMAL PROTEIN L23,2.3351773231357746e-4
SM22-ALPHA HOMOLOG,2.4580763403509565e-4
"KIAA0035 gene, partial cds",2.460036213523928e-4
"KIAA0029 gene, partial cds",2.90744599529888e-4
UBL1 Ubiquitin-like protein,2.9816192472210956e-4
KIAA0014 gene,3.2580718219144846e-4
"KIAA0027 gene, partial cds",3.2580718219144846e-4
"KIAA0112 gene, partial cds",3.3535944214392724e-4
Randomly sequenced mRNA,3.3535944214392724e-4
Randomly sequenced mRNA,3.4343143822185746e-4
KIAA0036 gene,3.5998939453448143e-4
"PFKP Phosphofructokinase, platelet",3.686050823934917e-4
KIAA0037 gene,3.7531030472458016e-4
PIMT isozyme I,3.7984122432900466e-4
"KIAA0041 gene, partial cds",3.836596449628681e-4
RNS1 Ribonuclease A (pancreatic),3.8918281418454825e-4
"NADPH-flavin reductase",3.973522759095318e-4
Transmembrane protein,4.0604665088555267e-4
Proteasome subunit HsC7-I,4.0698509220391877e-4
MOBP Myelin-associated oligodendrocytic basic protein,4.073554332053322e-4
DB1,4.320086122724942e-4
RPS11 Ribosomal protein S11,4.3895557167897335e-4
"GB DEF = Annexin II, 5'UTR (sequence from the 5'cap to the start codon)",4.5008854466797274e-4
"GB DEF = ATP synthase B chain, 5'UTR (sequence from the 5'cap to the start codon)",4.5249726534921607e-4
"GB DEF = Pre-mRNA splicing factor SRp20, 5'UTR (sequence from the 5'cap to the start codon)",4.5937698066797256e-4
KIAA0045 gene,4.6519598393726864e-4
SP2 Sp2 transcription factor,4.691925832180077e-4
"GB DEF = mRNA (KIAA00167), partial sequence",4.996706252828902e-4
Hepatitis C-associated microtubular aggregate protein p44,5.015935588213887e-4
HYPOTHETICAL MYELOID CELL LINE PROTEIN 2,5.066906803659588e-4
HYPOTHETICAL MYELOID CELL LINE PROTEIN 3,5.282054320931464e-4
KIAA0115 gene,5.52454079660015e-4
HYPOTHETICAL MYELOID CELL LINE PROTEIN 5,5.52454079660015e-4
PHOSPHATIDYLINOSITOL,5.527182831205707e-4
EIF4A2 Eukaryotic translation initiation factor 4A (eIF-4A) isoform 2,5.910169954331155e-4
CAMK4 Calcium/calmodulin-dependent protein kinase IV,6.146996227570534e-4
VIM Vimentin,6.146996227570534e-4
KIAA0050 gene,6.157628665850526e-4
GC box bindig protein,6.312353069132988e-4
KIAA0064 gene,6.443932870787923e-4
PUTATIVE GLUCOSAMINE-6-PHOSPHATE ISOMERASE,7.006830543849157e-4
KIAA0058 gene,7.006830543849157e-4
CD40LG CD40 antigen ligand (hyper IgM syndrome),7.064101646441357e-4
KIAA0059 gene,7.10376739365038e-4
KIAA0063 gene,7.10376739365038e-4
"KIAA0069 gene, partial cds",7.348054552638238e-4
"KIAA0071 gene, partial cds",7.367039567101966e-4
"KIAA0070 gene, partial cds",7.904945295739093e-4
KIAA0067 gene,7.905989987339097e-4
"GB DEF = HuSAA1g gene for serum amyloid A1 gamma, exon 3 and intron 3",8.099087747497069e-4
AARS Alanyl-tRNA synthetase,8.099087747497069e-4
FK-506 binding protein (fkbp12.6) gene,8.099087747497069e-4
26S PROTEASOME REGULATORY SUBUNIT P31,8.099087747497069e-4
Proteasome subunit z,8.161148810291109e-4
RANBP1 RAN binding protein 1,8.56058059317878e-4
Prostacyclin synthase,8.792293378806549e-4
Tob,8.798349669708568e-4
"KIAA0077 gene, partial cds",8.798349669708568e-4
NT5 5' nucleotidase (CD73),8.798349669708568e-4
PK-120,8.847938957798508e-4
KIAA0076 gene,8.847938957798508e-4
"KIAA0068 gene, partial cds",9.212387018943756e-4
"KIAA0075 gene, partial cds",9.264845785639528e-4
KIAA0078 gene,0.0010414234196804296
"KIAA0073 gene, partial cds",0.0010735999679843246
KIAA0079 gene,0.0010735999679843246
Calgizzarin,0.0010735999679843246
"KIAA0088 gene, partial cds",0.0010735999679843246
"KIAA0084 gene, partial cds",0.0010735999679843246
KIAA0091 gene,0.0010735999679843246
KIAA0092 gene,0.001096520634408437
"KIAA0094 gene, partial cds",0.0011064989902665116
KIAA0095 gene,0.0011113387832288198
"KIAA0118 gene, partial cds",0.0012075034554262021
"KIAA0096 gene, partial cds",0.0012231455833898225
YL-1 mRNA for YL-1 protein (nuclear protein with DNA-binding ability),0.0012249425987952123
Chemokine,0.0012249425987952123
KIAA0100 gene,0.001260743482771788
KIAA0097 gene,0.0012788746103265353
"KIAA0082 gene, partial cds",0.001292393993519841
"T-COMPLEX PROTEIN 1, EPSILON SUBUNIT",0.0013088220973827916
"ATP SYNTHASE GAMMA CHAIN, MITOCHONDRIAL PRECURSOR",0.0013403850101681423
Proteasome subunit p112,0.001344182414926305
Proteasome activator hPA28 subunit beta,0.001344182414926305
ApM2 mRNA for GS2374 (unknown product specific to adipose tissue),0.001344182414926305
ApM1 mRNA for GS3109 (novel adipose specific collagen-like factor),0.001344182414926305
Apo1_Human (MER5(Aop1-Mouse)-like protein),0.0013443112066601965
"IL3RA Interleukin 3 receptor, alpha (low affinity)",0.001392892610974537
Protein disulfide isomerase-related protein P5,0.001392892610974537
Protein disulfide isomerase-related protein (PDIR),0.001392892610974537
Cytoskeleton associated protein (CG22) mRNA,0.0014201286146315448
"Fructose 6-phosphate,2-kinase/fructose 2,6-bisphosphatase",0.0014251494734625596
"Fructose 6-phosphate,2-kinase/fructose 2,6-bisphosphatase, partial cds",0.0014479953059104156
"Transcription elongation factor S-II, hS-II-T1",0.0014485424805094618
GB DEF = TI-227H,0.0014485424805094618
CW-1 mRNA,0.0014485424805094618
"TGFBR2 Transforming growth factor, beta receptor II (70-80kD)",0.0014485424805094618
C-myc binding protein,0.0014716176777178345
Ceramide glucosyltransferase,0.0014748093979028627
DOCK180 protein mRNA,0.001482780586298252
TESK1,0.0014950109465831827
KIAA0121 gene,0.0014958417410613478
"KIAA0122 gene, partial cds",0.0015246514420015345
"KIAA0123 gene, partial cds",0.0015261469344885444
"KIAA0124 gene, partial cds",0.001534631164752168
KIAA0125 gene,0.001577185379269231
KIAA0126 gene,0.001577185379269231
KIAA0127 gene,0.0015868871677331767
"KIAA0128 gene, partial cds",0.0015969691191242913
KIAA0130 gene,0.0015969691191242913
"KIAA0136 gene, partial cds",0.0016674245922025112
KIAA0137 gene,0.0016674245922025112
KIAA0138 gene,0.0016674245922025112
KIAA0140 gene,0.001730083168942822
"GB DEF = Monocyte PABL (pseudoautosomal boundary-like sequence) mRNA, clone Mo2",0.0017737159334014912
"MDH1 Malate dehydrogenase 1, NAD (soluble)",0.0017737159334014912
DNA REPLICATION LICENSING FACTOR CDC47 HOMOLOG,0.0018235384512870635
DJ-1 protein,0.0018235384512870635
Phosphoribosypyrophosphate synthetase-associated protein 39,0.0018286590351702017
Serum lectin P35,0.001841375728997748
Platelet activating factor acetylhydrolase IB gamma-subunit,0.0018504092214129836
KIAA0109 gene,0.0018552799795934277
KIAA0142 gene,0.0018552799795934277
"KIAA0147 gene, partial cds",0.0018906155070387164
KIAA0152 gene,0.0018943626198032507
"KIAA0153 gene, partial cds",0.0018943626198032507
Unc-18homologue,0.0018943626198032507
Rod photoreceptor protein,0.001940743859047763
Unc-18 homologue,0.0019625705387616554
HMG1 High-mobility group (nonhistone chromosomal) protein 1,0.0019625705387616554
KIAA0155 gene,0.001966930497183121
"KIAA0154 gene, partial cds",0.0019932717005008353
"KIAA0241 gene, partial cds",0.0020391277317551165
PROBABLE PROTEIN DISULFIDE ISOMERASE ER-60 PRECURSOR,0.0021305685175718875
KIAA0156 gene,0.0021774725260495574
KIAA0159 gene,0.0022218191183023322
"KIAA0160 gene, partial cds",0.0022352354638223784
"MANA2 Mannosidase, alpha type II",0.0022702910740713842
Tob family,0.002303727043347079
Tob family,0.002303727043347079
Histone H1x,0.002306429434481909
"ATP binding protein associated with cell differentiation, partial cds",0.002306429434481909
SEC14L SEC14 (S. cerevisiae)-like,0.002464918648291354
CRMP1 Collapsin response mediator protein 1,0.002464918648291354
"GB DEF = Adult (34 year old) Male liver mRNA for squalene epoxidase, partial cds",0.002465487643980604
"YWHAZ Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide",0.002489992616408951
Proteasome subunit p42,0.0024933261901520787
5'-terminal region of UMK,0.0025101169422409825
"Ornithine decarboxylase antizyme, ORF 1 and ORF 2",0.0025816875363179797
CAD PROTEIN,0.0025816875363179797
MEST Mesoderm specific transcript (mouse) homolog,0.0025816875363179797
KIAA0164 gene,0.0026050601596041886
KIAA0168 gene,0.002609414998072017
KIAA0170 gene,0.0026470176803453627
KIAA0171 gene,0.0026574417867627834
"KIAA0172 gene, partial cds",0.0026719713457466435
KIAA0174 gene,0.002690618551874638
"KIAA0177 gene, partial cds",0.002690618551874638
"KIAA0179 gene, partial cds",0.0027013469208605053
"KIAA0181 gene, partial cds",0.002706261573726535
"KIAA0182 gene, partial cds",0.0027351144013726945
"KIAA0183 gene, partial cds",0.00277596284842428
"KIAA0184 gene, partial cds",0.0027868172619784264
"KIAA0185 gene, partial cds",0.0027868172619784264
KIAA0186 gene,0.0027924403858780866
KIAA0187 gene,0.0028111986355372075
"KIAA0188 gene, partial cds",0.002826631724148183
"KIAA0190 gene, partial cds",0.0028331041228384186
"B-cell mRNA for a member of the short-chain alcohol dehydrogenase family, partial cds",0.002836989287167702
AC1 mRNA,0.002836989287167702
NB thymosin beta,0.0028409021187553785
5-aminoimidazole-4-carboxamide-1-beta-D-ribonucleoti de transformylase/inosinicase,0.0028528953882646377
Epidermoid carcinoma mRNA for ubiquitin-conjugating enzyme E2 similar to Drosophila bendless gene product,0.0028701375379570565
"Nuclear protein, NP220",0.0028847281099378046
"ATM Ataxia telangiectasia mutated (includes complementation groups A, C and D)",0.002946646756421156
Cadherin-15,0.002946646756421156
RP105,0.0029683211553834265
Calcium-binding protein in amniotic fluid 1,0.002982278982855457
Peroxisome assembly factor-2,0.002983967805871797
Adult heart mRNA for neutral calponin,0.002983967805871797
"KIAA0191 gene, partial cds",0.003006350386756867
KIAA0193 gene,0.0030232057043098775
KIAA0196 gene,0.0030232057043098775
"KIAA0192 gene, partial cds",0.0030232057043098775
"KIAA0198 gene, partial cds",0.003024150915759948
KIAA0200 gene,0.0030449587467728974
FCN1 Ficolin (collagen/fibrinogen domain-containing) 1,0.0031201698611694633
RBP-MS/type 1,0.0031231328129902145
IgG Fc binding protein,0.0031672094000165366
CD38 CD38 antigen (p45),0.0033213025314488883
TPRD,0.0033284618450931534
Phosphoethanolamine cytidylyltransferase,0.0034288426848567886
P105MCM mRNA,0.0035124704018176718
TR3beta,0.0035124704018176718
DNAJ PROTEIN HOMOLOG 1,0.0035124704018176718
"GB DEF = LIM domain, partial cds",0.0035140972581071887
Enhancer of rudimentary homolog mRNA,0.0035140972581071887
DNA for rhoHP1,0.003538739432482224
P97 homologous protein,0.0036241141996078553
"Non-lens beta gamma-crystallin like protein (AIM1) mRNA, partial cds",0.003634670499844703
"P97 homologous protein, partial cds",0.003673637124818829
KIAA0201 gene,0.0037115705833210885
"KIAA0206 gene, partial cds",0.003737938660069113
KIAA0207 gene,0.003737938660069113
"KIAA0209 gene, partial cds",0.003801151517701863
KIAA0212 gene,0.003801151517701863
KIAA0216 gene,0.003925930707936036
"KIAA0217 gene, partial cds",0.003928293096350227
KIAA0218 gene,0.003933057880491919
"KIAA0219 gene, partial cds",0.003933057880491919
"KIAA0223 gene, partial cds",0.0039449928533528055
"KIAA0225 gene, partial cds",0.0039449928533528055
KIAA0226 gene,0.004017720064556668
"KIAA0230 gene, partial cds",0.004036674033571768
KIAA0232 gene,0.004039292715699536
J1 gene extracted from Human (lambda) DNA for immunoglobin light chain,0.004039292715699536
KIAA0233 gene,0.004039292715699536
KIAA0236 gene,0.004039292715699536
KIAA0237 gene,0.004039292715699536
"KIAA0238 gene, partial cds",0.004039292715699536
"KIAA0239 gene, partial cds",0.004044941536959681
"KIAA0235 gene, partial cds",0.004152807478510617
DUAL SPECIFICITY MITOGEN-ACTIVATED PROTEIN KINASE KINASE 3,0.004154186376224213
Cancellous bone osteoblast mRNA for GS3955,0.004165323396428846
Cancellous bone osteoblast mRNA for GS3786,0.004177036824861775
Rhodanese,0.004177036824861775
"KIAA0246 gene, partial cds",0.004177036824861775
KIAA0247 gene,0.004207382926728895
ARF3 ADP-ribosylation factor 3,0.004207382926728895
KIAA0249 gene,0.004279651542293214
"KIAA0251 gene, partial cds",0.004327976960050354
"KIAA0253 gene, partial cds",0.004333171947465949
KIAA0256 gene,0.004333171947465949
"KIAA0257 gene, partial cds",0.004333171947465949
KIAA0258 gene,0.0044778207256785845
"KIAA0259 gene, partial cds",0.004675197286877091
"KIAA0261 gene, partial cds",0.004682268401332297
KIAA0262 gene,0.004682268401332297
KIAA0263 gene,0.004682268401332297
"KIAA0264 gene, partial cds",0.004693732867559181
KIAA0266 gene,0.004723138816207301
KIAA0269 gene,0.0047351990881706815
"KIAA0270 gene, partial cds",0.004840338898354096
"KIAA0272 gene, partial cds",0.004889316645722314
KIAA0274 gene,0.005022909674386898
KIAA0275 gene,0.0050371971248423745
"KIAA0276 gene, partial cds",0.005056050479023997
"KIAA0279 gene, partial cds",0.0050637477879071705
Heat shock transcription factor 4,0.005126010431040117
"KIAA0242 gene, partial cds",0.005181545278693481
"GB DEF = Alpha(1,2)fucosyltransferase, 5'UTR partial sequence",0.005181545278693481
RTP,0.005352369756695232
CMP-sialic acid transporter,0.005355508128677085
GB DEF = (lambda) DNA for immunoglobin light chain,0.005399740552820715
CYSTATIN A,0.005681145110592263
HGCMa,0.005681145110592263
Neuroblastoma,0.005681145110592263
Proton-ATPase-like protein,0.005763347993034729
Src-like adapter protein mRNA,0.005763347993034729
C-myc binding protein,0.005763347993034729
PDHA1 Pyruvate dehydrogenase (lipoamide) alpha 1,0.005763347993034729
PDHB Pyruvate dehydrogenase (lipoamide) beta,0.0058279918271081695
ATF4 CAMP-dependent transcription factor ATF-4 (CREB2),0.005832187792461527
TXGP1 Tax-transcriptionally activated glycoprotein 1 (34kD),0.006021888973511126
CGM7 Carcinoembryonic antigen gene family member 7,0.006052324914455904
Lamin-Like Protein (Gb:M24732),0.006052324914455904
Ras-Related C3 Botulinum Toxin Substrate,0.006052324914455904
Ras-Like Protein Tc4,0.006052324914455904
Nucleoside Diphosphate Kinase Nm23-H2s,0.0062118505834486
"Collagen, Type Iv, Alpha 2, N-Terminus",0.006274795102908932
Macmarcks,0.006353279877446632
"Protein Phosphatase 1, Alpha Catalytic Subunit",0.006362540094416148
Elastase 1,0.006378181163242684
Ornithine Aminotransferase-Like 3,0.006405851330520391
Calmodulin Type I,0.006478381704301923
Male Enhanced Antigen,0.006485780660610854
"Major Histocompatibility Complex, Dg",0.006542694944569453
Ras-Like Protein Tc10,0.006612934453077391
Stimulatory Gdp/Gtp Exchange Protein For C-Ki-Ras P21 And Smg P21,0.006612934453077391
"Arrestin, Beta 2",0.006671872253360966
"Protein Kinase Ht31, Camp-Dependent",0.0066745471902498405
Major Intrinsic Protein,0.006723072394453651
"Atpase, Ca2+ Transporting, Plasma Membrane 1, Alt. Splice 6",0.006747372197149287
"Rna Polymerase Ii, 14.5 Kda Subunit",0.006754267968182772
Triosephosphate Isomerase,0.006754267968182772
Calcitonin,0.006806330262044823
"Integrin, Beta 3 Subunit",0.0069895604891069595
"Retinoic Acid Receptor, Gamma 2",0.007010317699489961
Transcription Factor E2f-2,0.007041431366661578
Guanine Nucleotide-Binding Protein G25k,0.007091027878546453
Fmlp-Related Receptor I,0.0071132448930031735
"Helix-Loop-Helix Protein Delta Max, Alt. Splice 1",0.007171149032326949
"Succinate Dehydrogenase, Flavoprotein Subunit",0.007171149032326949
Tyrosine Kinase (Gb:Z25437),0.007308980602665555
"Oncogene Tls/Chop, Fusion Activated",0.00736982928094953
Calcyclin,0.007409608609181768
Homeotic Protein Pl2,0.007442370920842524
Ret Transforming Gene,0.007442370920842524
"Heat Shock Protein, 70 Kda (Gb:Y00371)",0.007603596216418073
Ribosomal Protein L39 Homolog,0.007603596216418073
"Beta-Hexosaminidase, Alpha Polypeptide, Abnormal Splice Mutation",0.007615704013767404
Adp-Ribosylation-Like Factor,0.00771812574697331
"Splicing Factor Sc35, Alt Splice Form 3",0.0077449484981790065
Transcription Factor Iia,0.0077449484981790065
Carcinoembryonic Antigen,0.007747171052995814
Guanine Nucleotide-Binding Protein Hsr1,0.007763595699065541
"Protease Receptor-1, Effector Cell",0.007984528816561384
"Crystallin, Alpha A",0.008032506077154014
Ubiquitin-Conjugating Enzyme Ubch5,0.008032506077154014
Peroxisome Proliferator Activated Receptor (Gb:Z30972),0.008084358749832623
Zinc Finger Protein 20,0.008084358749832623
Uncoupling Protein Ucp,0.008162787948544421
Nuclear Factor Nf-Il6,0.008313703445802336
"Collagen, Type Ix, Alpha 1",0.008349726155680706
"Tropomyosin Tm30nm, Cytoskeletal",0.008475186855936399
Ras-Related Protein Rap1b,0.008565450158518449
"Ccaat Displacement Protein, Cut Homolog, Alt. Splice 1",0.008599051579673325
"Autoimmune Antigen, Thyroid Disease-Related Antigen",0.008608845545361545
"Calcium Channel, Voltage-Gated, Beta 1 Subunit, L Type, Alt. Splice 2, Skeletal Muscle Isoform",0.008662170769507833
Epidermal Growth Factor Receptor-Related Protein,0.008704738755553606
"Basic Transcription Factor 2, 34 Kda Subunit",0.008704738755553606
"Basic Transcription Factor, 44 Kda Subunit",0.008774724264188837
G1 Phase-Specific Gene,0.008998960058124833
Interleukin 9 Receptor (Gb:S71404),0.009174837396495146
"Cpg-Enriched Dna, Clone E06",0.009201010121072328
"Cpg-Enriched Dna, Clone S19",0.009224120608661719
Opioid-Binding Cell Adhesion Molecule,0.009241383054175541
Retinoblastoma 1,0.009339330666625442
Phosphoprotein Tal2,0.009681045797933219
Cytosolic Acetoacetyl-Coenzyme A Thiolase,0.009706053604440212
Rad2,0.009706965033544183
Zinc Finger Protein Hzf4,0.009806181503728032
"Nuclear Factor 1, A Type",0.009909344004319478
Af-17,0.009909344004319478
Zinc Finger Protein Znf155,0.010195655019651554
Nkr-P1a Protein,0.010242861763313016
Transcriptional Coactivator Pc4,0.010338960267439433
"Immunoglobulin Heavy Chain, Vdjc Regions (Gb:L23564)",0.010338960267439433
"Glucocorticoid Receptor, Beta",0.01036331778266659
"Centractin, Alpha",0.010520605435652676
Spliceosomal Protein Sap 49,0.010700498455731025
Microtubule-Associated Protein 1b,0.010700498455731025
"Omega Light Chain, Immunoglobulin Lambda Light Chain Related",0.010786470720858993
Guanosine 5'-Monophosphate Synthase,0.01092731098538005
"Calmitine Calcium-Binding Protein, Mitochondrial",0.01092731098538005
Ras Inhibitor Inf,0.010944345520236357
"Tyrosine Phosphatase, Epsilon",0.010944345520236357
Potassium Channel (Gb:L02750),0.010944345520236357
Cyclophilin-Related Protein,0.011050442458171203
Mg61 Protein (Gb:L08239),0.011097076648012886
"Dna Polymerase, Epsilon, Catalytic Subunit",0.01111428789595231
Mac25,0.01119656539552568
"Alpha-cardiac actin gene, 5' flank and",0.011297173982812367
Somatostatin I gene and flanks,0.011297173982812367
EIF2A Eukaryotic translation initiation factor 2A,0.011370495647193647
"PROTEIN PHOSPHATASE PP2A, 65 KD REGULATORY SUBUNIT, ALPHA ISOFORM",0.011370495647193647
CYTOCHROME P450 IIF1,0.011370495647193647
LCP1 Lymphocyte cytosolic protein 1 (L-plastin),0.011434728042341519
THBD gene extracted from Human thrombomodulin gene,0.011439818595524526
SPARC SPARC/osteonectin,0.01168570664021889
MYCL2 gene,0.011871181265701755
